,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
0,23884900UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300024448.0,0.0,1,56,10401000,ST,0.1754642857142856,1
1,00360029,701806,5500000546.0,10,4,4,60,F,,708,708.0,Z011,V5,7790,10687,100,E98,2100,,5300174058.0,0.0,2,4,140100000,ST,0.43,1
2,04002905,706808,,0,0,0,0,F,,272,272.0,Z012,Z7,390,194091,1,,3000,,5300106846.0,0.0,1,14,130600000,ST,0.685,0
3,60022412,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300376084.0,0.0,1,42,10402000,ST,0.4431415382862749,1
4,01568000UB,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,1,E19,2100,,5300179214.0,0.0,1,64,10401000,ST,0.5940385341782402,0
5,00160030,701728,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300015570.0,0.0,1,21,130404000,ST,0.05,1
6,23011100,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z7,260,32737,100,,3000,3000.0,5300197181.0,0.0,1,36,010401000,ST,0.2758333333333333,1
7,00200035,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,100,206,100,E11,2000,,,,1,28,080600000,ST,0.298,1
8,60067946,701314,,0,0,0,0,F,,233,233.0,Z011,Y3,0,0,100,E13,2000,,5300433824.0,0.0,1,56,060100000,ST,0.924,0
9,60075137,701806,,0,0,0,0,F,,208,208.0,Z011,V4,20,537,100,E98,3000,,5300458561.0,0.0,2,14,140000000,ST,0.4656865079365079,1
10,00290448,702465,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300135053.0,0.0,1,280,131100000,ST,0.89,0
11,60008163,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z1,0,0,1,,3000,3000.0,5300355835.0,0.0,1,42,10402000,ST,0.4431415382862749,1
12,96143377UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2000,,5300113039.0,0.0,1,28,10102000,ST,0.3663333333333333,1
13,95192430UB,2000,,0,0,0,0,F,40.0,205,205.0,Z012,Z1,0,0,100,,3000,3000.0,5300313179.0,0.0,1,999,010401000,ST,0.51,0
14,00341371,706186,,0,0,0,0,F,,215,215.0,Z001,Z7,0,0,100,,2000,,5300092875.0,0.0,1,28,080600000,ST,0.3663333333333333,1
15,04002497,702779,,0,0,0,0,F,,276,276.0,Z012,Y3,30,2475,1,E11,3000,,5300106594.0,0.0,1,14,080100000,ST,0.524,0
16,00300188,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,0,0,1,E11,3000,3000.0,5300207369.0,0.0,1,28,130000000,ST,0.88,0
17,00310909,701202,,0,0,0,0,F,,215,215.0,Z001,Y4,560,2254,100,E13,2000,,5300004608.0,0.0,1,14,140100000,ST,0.1994642857142857,1
18,00390689,701979,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,3000,,5300119162.0,0.0,1,180,520300000,ST,0.86,0
19,35190350,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300199911.0,0.0,1,42,010403000,ST,0.4431415382862749,1
20,23286900,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Z4,10,1614,1,,2000,3000.0,5300197608.0,0.0,2,3,010401000,ST,0.3925433106176813,1
21,24762402,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300253579.0,0.0,1,999,10102000,ST,0.0,1
22,80512403,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,100,,3000,3000.0,5300422242.0,0.0,1,999,520100000,ST,0.51,0
23,00260156,700985,,0,0,0,0,F,,203,203.0,Z005,Y2,0,0,1,E13,2000,,5300006600.0,0.0,1,49,090300000,ST,0.5598634421134422,0
24,23792605UB,711636,,0,0,0,0,F,,711,711.0,Z002,Z7,0,0,1,,2000,,5300362530.0,0.0,1,14,10102000,ST,0.0157391304347826,1
25,04001818,702779,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,100,,2100,,5300106186.0,0.0,1,14,080600000,ST,0.6729007936507937,0
26,24322303,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300244608.0,0.0,1,999,10103000,ST,0.51,0
27,60034110,715646,,0,0,0,0,F,,728,728.0,Z010,Y3,0,0,100,E11,2000,,5300507133.0,0.0,1,28,10102000,ST,0.3663333333333333,1
28,00310044,704970,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2000,,5300075387.0,0.0,1,30,050100000,ST,0.8859999999999999,0
29,95194023,712009,5500003451.0,20,14,14,112,F,,715,715.0,Z001,Y9,36940,391579,100,E13,2000,,5300194607.0,0.0,1,14,90400000,ST,0.3916666666666667,1
30,95173606UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,TB,0,0,1,,3000,3000.0,5300310207.0,0.0,1,56,10402000,ST,0.1754642857142856,1
31,00380379,708008,,0,0,0,0,F,,703,703.0,Z008,Y2,0,0,100,E11,2100,,5300126752.0,0.0,1,14,120000000,ST,0.6729007936507937,0
32,60102708,704926,,0,0,0,0,F,30.0,223,223.0,Z001,Z1,0,0,1,,2100,,5300506031.0,3.0,1,56,10403000,ST,0.1754642857142856,1
33,24246420,701056,,0,0,0,0,F,,998,998.0,Z001,Z1,0,0,1,,2100,,5300195412.0,3.0,1,999,550100000,ST,0.0,1
34,60114297,718509,,0,0,0,0,F,,206,206.0,Z001,Z7,20,40775,1,,2000,,5300531254.0,0.0,1,30,530104000,ST,0.41,1
35,00370453,700020,,0,0,0,0,F,,708,708.0,Z011,X4,0,0,100,E20,2100,,5300003771.0,0.0,1,12,140100000,ST,0.7029007936507936,0
36,31067201UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z5,0,0,1,,3000,3000.0,5300270700.0,0.0,1,28,10102000,ST,0.88,0
37,24270800UB,2000,,0,0,0,0,F,40.0,233,233.0,Z012,Y4,0,0,1,E12,3000,3000.0,5300244036.0,0.0,1,42,10401000,ST,0.4431415382862749,1
38,23289701UB,2000,,0,0,0,0,F,40.0,211,211.0,Z012,Z1,0,0,1,,3000,3000.0,5300232476.0,0.0,1,42,10102000,ST,0.4431415382862749,1
39,00394017,702014,,0,0,0,0,F,,206,206.0,Z001,Z2,0,0,1,,2000,,5300167650.0,0.0,1,112,520300000,ST,0.36,1
40,23975460,704926,,0,0,0,0,F,,223,223.0,Z001,Z6,0,0,1,,2000,,5300174308.0,0.0,1,42,010401000,ST,0.4431415382862749,1
41,00347271,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Z1,30,2224,100,,3000,3000.0,5300211489.0,0.0,1,84,080100000,ST,0.57,0
42,34306300UB,702225,,0,0,0,0,F,,213,213.0,Z008,Z2,0,0,1,,2100,,5300053922.0,0.0,1,56,10401000,ST,0.1754642857142856,1
43,60015717,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,100,,3000,3000.0,5300365900.0,0.0,1,31,10100000,ST,0.3563333333333333,1
44,31263400UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z1,0,0,1,,3000,3000.0,5300272204.0,0.0,1,42,10402000,ST,0.4431415382862749,1
45,04001496,1900,,0,0,0,0,F,,276,276.0,Z012,Y4,2170,631762,1,E11,3000,,5300078144.0,0.0,1,61,070600000,ST,0.34,1
46,95194281UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300314154.0,0.0,1,999,10102000,ST,0.51,0
47,23064600UB,702225,,0,0,0,0,F,,213,213.0,Z008,Z3,0,0,1,,2100,,5300040354.0,0.0,1,56,10405000,ST,0.1754642857142856,1
48,31508901,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,0,0,1,E15,2100,,5300093481.0,0.0,1,42,060100000,ST,0.4431415382862749,1
49,30960012,1900,,0,0,0,0,F,,272,272.0,Z012,Y4,0,0,1,E11,3000,,5300136925.0,0.0,1,21,550100000,ST,0.05,1
50,04006784,705960,,0,0,0,0,F,,278,278.0,Z012,Z1,70,6793,100,,3000,,5300145400.0,0.0,1,14,131200000,ST,0.17,1
51,00390737,700536,,0,0,0,0,F,,206,206.0,Z002,Z7,0,0,1,,2000,,5300012576.0,0.0,1,21,530700000,ST,0.05,1
52,24429500UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2000,,5300174369.0,0.0,1,42,10401000,ST,0.4431415382862749,1
53,60008482,704276,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2100,,5300409398.0,0.0,1,42,10402000,ST,0.4431415382862749,1
54,00130766,700049,,0,0,0,0,F,,203,203.0,Z011,Y5,0,0,1,E11,2000,,5300074933.0,0.0,1,84,070200000,ST,0.0,1
55,23225021,702225,,0,0,0,0,F,,213,213.0,Z008,Z3,1130,325642,1,,3000,,5300164287.0,0.0,1,56,040100000,ST,0.47,1
56,23035711UB,711636,,0,0,0,0,F,,711,711.0,Z002,Z2,0,0,100,,2000,,5300362494.0,0.0,1,14,10102000,ST,0.6729007936507937,0
57,34186600UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300057795.0,0.0,1,3,10402000,ST,0.2132805427938091,1
58,23277404,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2100,,5300023847.0,0.0,1,28,010102000,ST,0.88,0
59,28240362,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300264661.0,0.0,1,999,010102000,ST,0.51,0
60,33324700,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300273879.0,0.0,1,25,999999999,ST,0.88,0
61,28280717,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300265061.0,0.0,1,999,010103000,ST,0.51,0
62,24480800,2000,,0,0,0,0,F,40.0,252,252.0,Z012,EX,0,0,1,,3000,3000.0,5300247826.0,0.0,1,999,00,ST,0.0,1
63,00390779,700600,,0,0,0,0,F,,206,206.0,Z001,Y2,0,0,1,E13,2000,,5300012712.0,0.0,1,21,510100000,ST,0.05,1
64,00360953,701806,,0,0,0,0,F,,272,272.0,Z012,Z7,200,68,100,,3000,,5300184857.0,0.0,1,7,140100000,ST,0.3647142857142856,1
65,24234800,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300243726.0,0.0,1,42,10403000,ST,0.4431415382862749,1
66,60081822,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300462615.0,0.0,1,10,010401000,ST,0.0269156010230179,1
67,23906801,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300239821.0,0.0,1,42,010102000,ST,0.4431415382862749,1
68,00400053,702533,,0,0,0,0,F,,206,206.0,Z002,Z7,0,0,1000,,2000,,5300016012.0,0.0,1,14,010201000,MM,0.2388690476190476,1
69,00380912,700098,,0,0,0,0,F,,203,203.0,Z012,Z2,80,36391,1,,3000,,5300008006.0,0.0,1,84,090200000,ST,0.33,1
70,00120115,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,1,,3000,3000.0,5300201965.0,0.0,1,42,70400000,ST,0.4431415382862749,1
71,01413800UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300026243.0,0.0,1,42,10401000,ST,0.4431415382862749,1
72,24735330UB,704926,,0,0,0,0,F,,223,223.0,Z001,Z1,0,0,1,,2100,,5300190102.0,0.0,1,42,10402000,ST,0.4431415382862749,1
73,00170171,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y5,990,21436,1,E11,3000,3000.0,5300361197.0,0.0,1,180,581100000,ST,0.695,0
74,00110994,700222,,0,0,0,0,F,,208,208.0,Z011,Y3,0,0,100,E11,2000,,5300120541.0,0.0,1,14,070300000,ST,0.6729007936507937,0
75,34885600UB,702399,,0,0,0,0,F,30.0,228,228.0,Z001,Y2,0,0,1,E14,2000,,5300137497.0,3.0,1,42,10403000,ST,0.4431415382862749,1
76,00401285,702533,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2000,,5300171647.0,0.0,1,20,010302000,MM,0.1693333333333333,1
77,00345242,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Z5,300,433486,1,,3000,3000.0,5300180668.0,0.0,1,175,080100000,ST,0.67,0
78,60061687,2100,,0,0,0,0,F,41.0,203,203.0,Z012,Z1,20,13628,1,,3000,3000.0,5300541640.0,0.0,1,84,110500000,ST,0.03,1
79,60061999,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300429268.0,0.0,1,70,010102000,ST,0.985,0
80,00270491,700289,,0,0,0,0,F,,215,215.0,Z002,Z2,20,12000,1,,2000,,5300011769.0,0.0,1,14,080800000,ST,0.184,1
81,60019356,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300375861.0,0.0,1,42,010403000,ST,0.4431415382862749,1
82,00360751,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2100,,5300121477.0,0.0,1,21,140100000,ST,0.3557619047619048,1
83,23094501UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2100,,5300182908.0,0.0,1,42,10102000,ST,0.8318333333333335,0
84,33611001UB,700585,,0,0,0,0,F,,203,203.0,Z010,Y5,0,0,1,E14,2000,,5300057849.0,0.0,1,84,30201000,ST,0.0,1
85,29241505,700000,,0,0,0,0,F,,723,723.0,Z001,V3,0,0,1,E19,2100,,5300060925.0,0.0,1,28,010102000,ST,0.88,0
86,60069698,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E11,2000,,5300457484.0,0.0,1,28,10102000,ST,0.3663333333333333,1
87,80580303,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,0,0,100,E11,3000,3000.0,5300295632.0,0.0,1,14,520100000,ST,0.6729007936507937,0
88,04002569,706837,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300106640.0,0.0,1,14,070600000,ST,0.6729007936507937,0
89,60096975,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,10,917,100,E11,2100,,5300505437.0,0.0,1,14,520100000,ST,0.5659722222222222,0
90,60031778,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300520044.0,0.0,1,999,010403000,ST,0.0,1
91,00380712,703001,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300145450.0,0.0,1,140,130100000,ST,0.35,1
92,60018843,701863,4600012862.0,10,84,0,0,F,,215,215.0,Z001,Z3,2390,602953,1,,2100,,5300380189.0,0.0,1,84,80400000,ST,0.535,0
93,00130612,703334,,0,0,0,0,F,,203,203.0,Z010,Y5,0,0,1,E14,2100,,5300014594.0,0.0,1,84,070200000,ST,0.0,1
94,04004091,1900,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,1,E11,2000,,5300087154.0,0.0,2,5,070500000,ST,0.0840229664052015,1
95,00350829,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2100,,5300120874.0,0.0,1,21,140200000,ST,0.3557619047619048,1
96,00423296,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300219662.0,0.0,1,999,10103000,ST,0.0,1
97,60046987,2000,,0,0,0,0,F,40.0,216,216.0,Z012,Z7,2530,110233,100,,3000,3000.0,5300410775.0,0.0,1,42,100202000,ST,0.23,1
98,32307400UB,700000,,0,0,0,0,F,,723,723.0,Z001,V3,0,0,100,E19,2100,,5300066045.0,0.0,1,35,10401000,ST,0.961,0
99,35193007UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,1,,3000,3000.0,5300288630.0,0.0,1,999,10102000,ST,0.0,1
100,00392361,708148,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,3000,,5300141568.0,0.0,1,180,520300000,ST,0.86,0
101,23333700UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Y9,0,0,1,E13,3000,3000.0,5300233261.0,0.0,1,42,10402000,ST,0.4431415382862749,1
102,24630301,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,100,E19,2100,,5300121851.0,0.0,1,28,010102000,ST,0.3663333333333333,1
103,24761002,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Y3,0,0,1,E13,3000,3000.0,5300253535.0,0.0,1,999,10102000,ST,0.0,1
104,00394247,707687,,0,0,0,0,F,,206,206.0,Z012,Z1,0,0,1,,3000,,5300192451.0,0.0,1,80,520300000,ST,0.1,1
105,00345190,708235,5500000846.0,20,14,14,42,F,,715,715.0,Z008,Y7,360,32212,1,E13,2000,,5300137140.0,0.0,1,42,80200000,ST,0.716,0
106,34999801UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,100,,2100,,5300363447.0,0.0,1,30,10102000,ST,0.3663333333333333,1
107,34942602,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2000,,5300090217.0,0.0,1,28,010102000,ST,0.3663333333333333,1
108,33612302,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,0,0,1,E15,2100,,5300115473.0,0.0,1,42,060100000,ST,0.4431415382862749,1
109,00120698,702236,,0,0,0,0,F,,708,708.0,Z011,Y2,100,704,1,E11,3000,,5300007339.0,0.0,1,42,070400000,ST,0.637519647019647,0
110,04005569,707144,,0,0,0,0,F,,279,279.0,Z001,Y4,590,27475,1,E11,3000,,5300114003.0,0.0,1,56,130000000,ST,0.69,0
111,04006320,700699,,0,0,0,0,F,,203,203.0,Z001,Z7,0,0,1,,2100,,5300140099.0,0.0,1,42,00,ST,0.4431415382862749,1
112,24206400,715408,,0,0,0,0,F,,223,223.0,Z004,TB,0,0,1,,2100,,5300435332.0,0.0,1,56,010403000,ST,0.1754642857142856,1
113,23705000,2100,,0,0,0,0,F,41.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300405194.0,0.0,1,42,10401000,ST,0.4431415382862749,1
114,60068332,708008,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300462851.0,0.0,1,30,520200000,ST,0.3663333333333333,1
115,31013003,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,100,,3000,,5300039718.0,0.0,1,3,010502000,ST,0.3837629870129871,1
116,34385801,708673,,0,0,0,0,F,,211,211.0,Z010,Z2,0,0,1,,2000,,5300144398.0,0.0,1,42,010102000,ST,0.4431415382862749,1
117,30072700,706883,,0,0,0,0,F,,272,272.0,Z012,Z7,20,8778,1,,3000,,5300101950.0,0.0,1,28,010501000,ST,0.27,1
118,04002115,711970,,0,0,0,0,F,40.0,215,215.0,Z001,Y2,0,0,1,E13,2100,,5300193957.0,0.0,1,3,LEEB,ST,0.2132805427938091,1
119,82019742,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,1,,3000,3000.0,5300299070.0,0.0,1,42,70500000,ST,0.4431415382862749,1
120,60068311,708008,,0,0,0,0,F,,206,206.0,Z012,Z7,0,0,100,,3000,,5300462828.0,0.0,1,30,520200000,ST,0.3663333333333333,1
121,23665706,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300236152.0,0.0,1,15,10201000,ST,0.0117391304347826,1
122,33650700UB,700119,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E15,2000,,5300050873.0,3.0,1,42,10401000,ST,0.4431415382862749,1
123,25020942UB,2000,,0,0,0,0,F,40.0,989,989.0,Z012,Z1,0,0,1,,3000,3000.0,5300257249.0,0.0,1,999,10102000,ST,0.0,1
124,60091917,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300500012.0,0.0,1,10,00,ST,0.0269156010230179,1
125,29242300UB,701318,,0,0,0,0,F,,202,202.0,Z001,Z2,0,0,1,,2000,,5300067032.0,0.0,1,42,10401000,ST,0.4431415382862749,1
126,24801310,2000,,0,0,0,0,F,40.0,252,252.0,Z012,EX,0,0,1,,3000,3000.0,5300183618.0,0.0,1,999,00,ST,0.0,1
127,82011600,1900,,0,0,0,0,F,40.0,206,206.0,Z001,Z1,0,0,1,,2100,,5300143758.0,0.0,1,3,550100000,ST,0.2132805427938091,1
128,00422785,702533,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2000,,5300030594.0,0.0,1,21,010103000,ST,0.05,1
129,00110582,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,210,5603,1,,3000,3000.0,5300201377.0,0.0,1,56,071000000,ST,0.5116666666666666,0
130,04006430,700418,,0,0,0,0,F,,203,203.0,Z001,Y4,0,0,100,E13,2100,,5300140081.0,0.0,1,56,050500000,ST,0.924,0
131,34665100UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z1,0,0,1,,3000,3000.0,5300282609.0,0.0,1,999,10402000,ST,0.0,1
132,33429302,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300274632.0,0.0,1,42,060100000,ST,0.4431415382862749,1
133,00341224,705589,,0,0,0,0,F,,219,219.0,Z002,Z2,0,0,1,,2000,,5300090767.0,0.0,1,28,080200000,ST,0.88,0
134,95183745,708868,,0,0,0,0,F,,998,998.0,Z001,Y2,0,0,1,E13,2100,,5300374362.0,0.0,1,999,550100000,ST,0.0,1
135,60039013,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Z1,0,0,1,,3000,3000.0,5300504103.0,0.0,1,84,80100000,ST,0.0,1
136,30010143,1900,,0,0,0,0,F,,219,219.0,Z001,Z1,0,0,1,,2100,,5300078683.0,0.0,1,5,550100000,ST,0.218938967702234,1
137,24934501,2000,,0,0,0,0,F,40.0,989,989.0,Z012,Z1,0,0,1,,3000,3000.0,5300256042.0,0.0,1,999,10102000,ST,0.0,1
138,37207852,2000,,0,0,0,0,F,40.0,989,989.0,Z012,Z1,0,0,100,,3000,3000.0,5300293459.0,0.0,1,999,10102000,ST,0.51,0
139,00260113,700537,,0,0,0,0,F,,203,203.0,Z010,Y5,0,0,100,E13,2100,,,,1,21,090300000,ST,0.3557619047619048,1
140,04008337,700222,,0,0,0,0,F,,272,272.0,Z012,Y5,60,2873,100,E11,3000,,5300189367.0,0.0,1,56,070300000,ST,0.41,1
141,33736700UB,1000,,0,0,0,0,F,,991,991.0,Z008,Z9,0,0,1,,2000,,5300092032.0,0.0,1,42,10401000,ST,0.4431415382862749,1
142,23020400UB,704926,,0,0,0,0,F,30.0,223,223.0,Z001,Z5,0,0,1,,2000,,5300085632.0,3.0,1,42,10403000,ST,0.4431415382862749,1
143,60021464,704276,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2100,,5300372755.0,0.0,1,42,10401000,ST,0.4431415382862749,1
144,23637900UB,702225,,0,0,0,0,F,,213,213.0,Z008,TB,0,0,1,,2100,,5300038301.0,0.0,1,56,10402000,ST,0.1754642857142856,1
145,34567500UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z5,0,0,1,,3000,3000.0,5300281600.0,0.0,1,56,10402000,ST,0.1754642857142856,1
146,95143541UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,1,,3000,3000.0,5300306572.0,0.0,1,28,10102000,ST,0.88,0
147,95174421,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,2180,4574,100,,2000,,5300167869.0,0.0,1,35,010102000,ST,0.16,1
148,60080757,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,100,,3000,3000.0,5300464653.0,0.0,1,10,010100000,ST,0.7529007936507937,0
149,34842900,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,450,65518,100,,3000,3000.0,5300199741.0,0.0,1,42,010401000,ST,0.23,1
150,60059284,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300426127.0,0.0,1,70,00,ST,0.985,0
151,24721100UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,3000,,5300168492.0,0.0,1,3,10403000,ST,0.2132805427938091,1
152,00370797,706261,,0,0,0,0,F,,272,272.0,Z012,Y4,810,5024,100,E13,3000,,5300121492.0,0.0,1,7,140100000,ST,0.105,1
153,24582027,701528,5500007590.0,10,14,14,56,F,,733,733.0,Z011,Y9,690,653417,1,E14,2000,,5300098415.0,0.0,1,84,60200000,ST,0.5573333333333333,0
154,60113288,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300530219.0,0.0,1,10,00,ST,0.0269156010230179,1
155,34765401,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,560,18572,1,,3000,2800.0,5300284372.0,0.0,1,105,140400000,ST,0.61,0
156,34182802,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2000,,5300047824.0,0.0,1,28,010102000,ST,0.88,0
157,30117401,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300269041.0,0.0,1,70,10102000,ST,0.71,0
158,31102304,700000,,0,0,0,0,F,,723,723.0,Z001,X3,20,66,100,E20,2000,,5300147288.0,0.0,1,28,010102000,ST,0.3379999999999999,1
159,60036387,715646,,0,0,0,0,F,,228,228.0,Z010,Y2,1500,82833,100,E11,2000,,5300501951.0,0.0,1,42,010102000,ST,0.21,1
160,00120253,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,1,,3000,3000.0,5300202049.0,0.0,1,42,70400000,ST,0.4431415382862749,1
161,00270276,701348,,0,0,0,0,F,,206,206.0,Z012,Z1,370,5119,1,,3000,,5300008183.0,0.0,1,14,131400000,ST,0.54,0
162,60013308,1900,,0,0,0,0,F,,996,998.0,Z001,Z1,0,0,1,,2000,,5300360379.0,0.0,1,999,00,ST,0.0,1
163,95050055,2000,,0,0,0,0,F,40.0,233,233.0,Z011,Y4,90,4077,1,E15,2100,2100.0,5300301101.0,0.0,1,3,060100000,ST,0.3382167271134663,1
164,60091469,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2000,,5300496234.0,0.0,1,3,10402000,ST,0.2132805427938091,1
165,28064105,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z5,240,31224,100,,3000,3000.0,5300261893.0,0.0,1,999,010502000,ST,0.41,1
166,80651204,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,0,0,100,E11,2100,,5300115699.0,0.0,1,14,520100000,ST,0.6729007936507937,0
167,50252170,706822,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300103641.0,0.0,1,14,080600000,ST,0.6729007936507937,0
168,23588700UB,2000,,0,0,0,0,F,40.0,205,205.0,Z012,Z1,0,0,100,,3000,3000.0,5300235332.0,0.0,1,999,010401000,ST,0.51,0
169,00131205,3000,,0,0,0,0,F,42.0,212,212.0,Z001,Y9,70,169792,1,E11,2100,2000.0,5300528979.0,0.0,1,3,070200000,ST,0.4332507631257632,1
